Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.45,0.3846153846153847,0.6,0.46153846153846156,0.5217391304347826,-0.10482848367219183
Decision Tree,0.55,0.521978021978022,0.6666666666666666,0.6153846153846154,0.64,0.04279604925109129
kNN,0.45,0.4395604395604396,0.625,0.38461538461538464,0.47619047619047616,-0.04279604925109129
Naive Bayes,0.4,0.34065934065934067,0.5714285714285714,0.3076923076923077,0.4,-0.12087912087912088
Random Forest,0.5,0.47802197802197804,0.7142857142857143,0.38461538461538464,0.5,0.0989010989010989
XGBoost,0.45,0.5054945054945056,0.6,0.46153846153846156,0.5217391304347826,-0.10482848367219183
